lookback_period,leverage,capital_allocation,momentum_threshold,sharpe_ratio,calmar_ratio,annual_return,max_drawdown,error_type,error_msg
389,1,0.5,0.08,0.511777534681988,0.6119279459380207,0.08375442804363797,-0.13686975500890275,,
389,1,0.5,0.09,0.35267796964152565,0.27705012075141516,0.05525212403574087,-0.19943006660991913,,
389,1,0.5,0.1,0.507248171269424,0.36022778294439534,0.07622037286665573,-0.2115893789303339,,
389,1,0.6,0.0,-0.18051429268033306,-0.14481057881601692,-0.051475948894263546,-0.3554709145915657,,
389,1,0.6,0.01,0.05453355095588072,0.05201583447164001,0.014869772888812527,-0.2858701208940482,,
389,1,0.6,0.02,0.08524020359701667,0.07805729170980928,0.022427757765681955,-0.28732431364722216,,
389,1,0.6,0.03,0.2165235753464241,0.20545867117717675,0.05475702948516337,-0.26651116339569714,,
389,1,0.6,0.04,0.2299712380550295,0.2178569349774221,0.05558970067399982,-0.25516608263932905,,
389,1,0.6,0.05,0.07358274986729517,0.06371407937610003,0.016989325095799312,-0.26664946370036113,,
389,1,0.6,0.06,0.3815192773308567,0.4148060637279705,0.08338769013956404,-0.20102813683613271,,
389,1,0.6,0.07,0.40618607561499237,0.4260880837243661,0.08388859465235199,-0.19688087476912178,,
389,1,0.6,0.08,0.4979681059182123,0.603088737878173,0.09779335215502138,-0.16215416739348257,,
389,1,0.6,0.09,0.3379008704476059,0.269279414137426,0.06352449230009749,-0.23590549059824506,,
389,1,0.6,0.1,0.4946389070019181,0.3573468079831063,0.08919080811672231,-0.2495917302861114,,
389,1,0.7000000000000001,0.0,-0.20199556310518174,-0.1660887311858672,-0.06720187443530723,-0.40461429234535307,,
389,1,0.7000000000000001,0.01,0.031558776017850516,0.030565119579402965,0.010039393995872281,-0.3284591761465761,,
389,1,0.7000000000000001,0.02,0.06296312741866346,0.058610224129550505,0.01932744560329125,-0.32976235614745936,,
389,1,0.7000000000000001,0.03,0.19512934585732486,0.18778862908187197,0.05757103915978301,-0.3065736165243702,,
389,1,0.7000000000000001,0.04,0.20960499038168434,0.20184102306449453,0.05911112437036148,-0.29285981349526563,,
389,1,0.7000000000000001,0.05,0.054096474562277654,0.04771924762630038,0.014571889384692227,-0.3053671235306936,,
389,1,0.7000000000000001,0.06,0.364145340900557,0.40029304318502135,0.0928553656390736,-0.23196847214792707,,
389,1,0.7000000000000001,0.07,0.3900842457887897,0.41028677260508456,0.09399031132873836,-0.22908442973180454,,
389,1,0.7000000000000001,0.08,0.48369617015666255,0.5933377299984383,0.11082232154828775,-0.18677780957664608,,
389,1,0.7000000000000001,0.09,0.3228397644408277,0.2610537232722556,0.07080855041033218,-0.27124129670613895,,
389,1,0.7000000000000001,0.1,0.4816390204345365,0.3540167874771806,0.10132118936159418,-0.2862044765832615,,
389,1,0.8,0.0,-0.22287060161089303,-0.18790426786105377,-0.08473918623069798,-0.4509699923013913,,
389,1,0.8,0.01,0.008681833617043703,0.008542835475843611,0.003156390683803467,-0.3694781074420459,,
389,1,0.8,0.02,0.04071150065222996,0.03854208709622102,0.014282269576646467,-0.3705629521564445,,
389,1,0.8,0.03,0.17351848105193746,0.16944615189582513,0.05850852695358233,-0.34529274521119346,,
389,1,0.8,0.04,0.18901012352188493,0.18505275559650625,0.060917856683875726,-0.3291918376871003,,
389,1,0.8,0.05,0.03462680942098053,0.03112163116299947,0.010659855710643873,-0.3425223971973996,,
389,1,0.8,0.06,0.3463753469176928,0.3850495955085149,0.10094182851546485,-0.2621527971796886,,
389,1,0.8,0.07,0.37359644210424453,0.39428085042346667,0.1028772521650898,-0.26092378581053904,,
389,1,0.8,0.08,0.46898090858193653,0.5826702504320503,0.12280094408152831,-0.21075547274032155,,
389,1,0.8,0.09,0.3075154870707539,0.25236561223685217,0.07708282477327266,-0.30544107848151786,,
389,1,0.8,0.1,0.46826302761402083,0.35022320144955144,0.11257978902150434,-0.3214515444880402,,
389,1,0.9,0.0,-0.24307970516465655,-0.210222220645774,-0.10397590928531308,-0.49459999502390023,,
389,1,0.9,0.01,-0.01402760552650781,-0.014031276969862937,-0.005737403067382574,-0.4089009916706547,,
389,1,0.9,0.02,0.018548976268233153,0.017867810563029725,0.0073206995465202596,-0.4097144146842207,,
389,1,0.9,0.03,0.15174867021629876,0.15043633359915584,0.0575639839408284,-0.38264681519166865,,
389,1,0.9,0.04,0.16823674093107477,0.16750282883353768,0.061000433031259016,-0.3641755393389835,,
389,1,0.9,0.05,0.0152166407094696,0.013936374139385881,0.005269994455467941,-0.3781467405194224,,
389,1,0.9,0.06,0.32824297205541236,0.369079967920589,0.10761483706304142,-0.29157593588551456,,
389,1,0.9,0.07,0.35675003815215317,0.37805101026393795,0.11051804015233135,-0.2923363174593098,,
389,1,0.9,0.08,0.4538428057351753,0.5710839737673076,0.13369172281358677,-0.23410168898919315,,
389,1,0.9,0.09,0.29194958923328806,0.24320849058546898,0.0823286548893738,-0.338510611579334,,
389,1,0.9,0.1,0.45452637765507414,0.3459520692641541,0.12293687685974541,-0.3553581197569774,,
389,1,1.0,0.0,-0.2625677913798304,-0.2330036074982679,-0.12479091461086977,-0.5355750322955727,,
389,1,1.0,0.01,-0.03650125980321015,-0.03713392981677587,-0.01658811972677121,-0.4467105907890538,,
389,1,1.0,0.02,-0.0034616068013848308,-0.0033943289378889226,-0.0015179863402745575,-0.44721250298701387,,
389,1,1.0,0.03,0.12987819255948616,0.13076733396303264,0.0547418759372289,-0.4186204174867111,,
389,1,1.0,0.04,0.14733561821963692,0.14920500862529446,0.05935773378095566,-0.3978266837544544,,
389,1,1.0,0.05,-0.0040915560465825266,-0.003819024071481821,-0.001574480793130606,-0.4122730738692859,,
389,1,1.0,0.06,0.3097831979058876,0.35239062112879554,0.11284753201351161,-0.32023420955992715,,
389,1,1.0,0.07,0.3395735690063303,0.3615794796309352,0.11688546701120628,-0.32326355226383835,,
389,1,1.0,0.08,0.43830358836632094,0.5585789796784516,0.14346024928939638,-0.25683073389546435,,
389,1,1.0,0.09,0.27616427107435126,0.23357667099974877,0.08653028469654322,-0.37045773589536385,,
389,1,1.0,0.1,0.4404454148244238,0.34119002286128663,0.13236484879309818,-0.38795052587722384,,
395,1,0.1,0.0,-0.0015566810933481336,-0.0011107843541847524,-7.398908468836396e-05,-0.06660976490136775,,
395,1,0.1,0.01,0.11435884561978725,0.09524993554503453,0.005217217163135057,-0.05477397053637204,,
395,1,0.1,0.02,0.21953474006477908,0.1852773985681441,0.009624822054137283,-0.051948171382584056,,
395,1,0.1,0.03,0.4465172500361984,0.4322739236758963,0.018756738252692307,-0.043390862194952674,,
395,1,0.1,0.04,0.2680204370074921,0.2133630485238011,0.010815393499253423,-0.05069009640648691,,
395,1,0.1,0.05,0.26530274252681374,0.2343777952296926,0.010161307142365406,-0.043354393416011196,,
395,1,0.1,0.06,0.5030093176301093,0.5350504039397589,0.018331096849418804,-0.034260504644872104,,
395,1,0.1,0.07,0.35861770570030177,0.34597239385502615,0.012517147615056734,-0.03617961385757799,,
395,1,0.1,0.08,0.19625813719333682,0.14081304373679615,0.006443089591560147,-0.04575634061006019,,
395,1,0.1,0.09,0.21607956445165558,0.12036927658531121,0.0067149891305087195,-0.055786570468831384,,
395,1,0.1,0.1,0.14636838970092034,0.06298853395107372,0.004312348816914113,-0.06846244143836917,,
395,1,0.2,0.0,-0.025291153981996408,-0.01853721214216719,-0.002404178147774161,-0.12969469892968966,,
395,1,0.2,0.01,0.09163211044914675,0.07747337437878159,0.008360780781558663,-0.10791811830321558,,
395,1,0.2,0.02,0.19826757968568576,0.1701999395470737,0.01738485829637826,-0.10214373954915522,,
395,1,0.2,0.03,0.42892504871395953,0.41876873580635215,0.03603549411853102,-0.08605106121196837,,
395,1,0.2,0.04,0.24886897686287582,0.20174897988799748,0.02008515428585289,-0.09955517146606303,,
395,1,0.2,0.05,0.24711986007754966,0.22139689041532978,0.018929776415504307,-0.08550154602439523,,
395,1,0.2,0.06,0.48873504612841734,0.5194521492310392,0.03562180321627073,-0.06857571629841704,,
395,1,0.2,0.07,0.3429779719387573,0.33628285770954447,0.023942520601913486,-0.07119756494573748,,
395,1,0.2,0.08,0.18027039800138392,0.1308496690371002,0.01183643482649499,-0.09045827103421232,,
395,1,0.2,0.09,0.20106354859183762,0.11456245758511081,0.012496688863307792,-0.10908188534646042,,
395,1,0.2,0.1,0.13182982665743154,0.05851852663847955,0.00776801873931654,-0.13274460560680945,,
395,1,0.30000000000000004,0.0,-0.04891620636317651,-0.036833204367607626,-0.006974964912281778,-0.18936622626338206,,
395,1,0.30000000000000004,0.01,0.0687613979011601,0.05905271694018811,0.009410985482062761,-0.1593658339479068,,
395,1,0.30000000000000004,0.02,0.17666278754714665,0.1543105639977237,0.023235701464297875,-0.15057751629137092,,
395,1,0.30000000000000004,0.03,0.41064530889040185,0.4045837192924691,0.05174962382480519,-0.12790831997714658,,
395,1,0.30000000000000004,0.04,0.2293475019361498,0.18937442671789886,0.027764488886057315,-0.14661160626200398,,
395,1,0.30000000000000004,0.05,0.22860370127125712,0.20775182162972186,0.026267113566653233,-0.12643505775592848,,
395,1,0.30000000000000004,0.06,0.47387411043647387,0.5034084060328762,0.051807979942218196,-0.10291441168114852,,
395,1,0.30000000000000004,0.07,0.3269502267791026,0.3257873343545467,0.03423548965641765,-0.10508539174564709,,
395,1,0.30000000000000004,0.08,0.16410515115841418,0.12056572310960476,0.016162553152768044,-0.13405595500866258,,
395,1,0.30000000000000004,0.09,0.185868202409958,0.10833291935277721,0.017328380340695837,-0.15995489131302182,,
395,1,0.30000000000000004,0.1,0.1171877611869495,0.05365016759015586,0.010357861509796562,-0.19306298516944617,,
395,1,0.4,0.0,-0.07235279460664991,-0.055977085133630325,-0.013755719319689885,-0.24573839968358094,,
395,1,0.4,0.01,0.04581777441696863,0.03999339694641448,0.00836109450980671,-0.20906187391407133,,
395,1,0.4,0.02,0.15478123858639956,0.13761295292749962,0.027143619789259388,-0.19724611100787734,,
395,1,0.4,0.03,0.39171901808044157,0.38970217963955306,0.06581937060788445,-0.1688965934672542,,
395,1,0.4,0.04,0.2095016311440141,0.17623575072716274,0.03381596724274605,-0.1918791567727812,,
395,1,0.4,0.05,0.20979318477184314,0.19344405835383088,0.03214098680681765,-0.16615132602330013,,
395,1,0.4,0.06,0.45844942229092317,0.48721852266954757,0.06682882774553178,-0.13716397188548177,,
395,1,0.4,0.07,0.310560827016624,0.3144835774509295,0.04335910529158138,-0.13787398897911268,,
395,1,0.4,0.08,0.1477878379239067,0.1099529215739383,0.01940730293080617,-0.17650556850147586,,
395,1,0.4,0.09,0.17051477189686107,0.10167136505063723,0.021195985706177645,-0.20847547090196955,,
395,1,0.4,0.1,0.10246088720257085,0.04837215423673142,0.012074931933344857,-0.24962568080492376,,
395,1,0.5,0.0,-0.09552330826774671,-0.07594196443077411,-0.022701124126630612,-0.2989272702752392,,
395,1,0.5,0.01,0.022872619843311275,0.02030421077311265,0.005217411218417345,-0.2569620300300651,,
395,1,0.5,0.02,0.13268527704199057,0.12011432070691608,0.02908587908128424,-0.24215163446043197,,
395,1,0.5,0.03,0.37219034989082816,0.37410983576310436,0.0781725339000261,-0.20895610440332524,,
395,1,0.5,0.04,0.18937847840145994,0.16233200503964282,0.03820982435276754,-0.23538072078538294,,
395,1,0.5,0.05,0.1907284581705129,0.1784772207944234,0.036525262155262084,-0.2046494336514418,,
395,1,0.5,0.06,0.44248595905622046,0.4708526086285471,0.08062726360798944,-0.17123673551014734,,
395,1,0.5,0.07,0.2938373829094842,0.30237174401902805,0.051280316591140185,-0.16959361317806584,,
395,1,0.5,0.08,0.13134436422804974,0.09900371182683808,0.02155995970842639,-0.21776920592771032,,
395,1,0.5,0.09,0.15502493807417703,0.09456926741778061,0.02408813570056023,-0.25471420428949265,,
395,1,0.5,0.1,0.08766810638108531,0.04267392752403146,0.012914518483330584,-0.3026325260560534,,
395,1,0.6,0.0,-0.11835213796139527,-0.09669574375527011,-0.03375167744797525,-0.3490502905008755,,
395,1,0.6,0.01,-2.863070074692069e-06,-2.586204310284089e-06,-7.837045705727519e-07,-0.3030327369946513,,
395,1,0.6,0.02,0.11043832449681687,0.10182551717313161,0.02905096170907484,-0.2853013911992232,,
395,1,0.6,0.03,0.3521064398618183,0.35779497353004464,0.08874508201920617,-0.24803333915967968,,
395,1,0.6,0.04,0.16902640639703148,0.14766504832779856,0.04092420228904081,-0.2771421047328277,,
395,1,0.6,0.05,0.1714507095192868,0.16285713764528803,0.03940019547349838,-0.241931032579697,,
395,1,0.6,0.06,0.4260106783933488,0.45428274872948887,0.09315027850348079,-0.20504912142052054,,
395,1,0.6,0.07,0.2768086566303762,0.2894544522568753,0.0579701686965266,-0.20027388849794295,,
395,1,0.6,0.08,0.11480101021320117,0.08771132737048583,0.02261327467741947,-0.25781475842798224,,
395,1,0.6,0.09,0.13942074975631297,0.08701894052369116,0.025996224720930883,-0.29874214239431396,,
395,1,0.6,0.1,0.07282847491378351,0.036545756108497626,0.012874164494417695,-0.35227522605351685,,
395,1,0.7000000000000001,0.0,-0.14076621988701044,-0.11820117511029118,-0.04683434947781018,-0.3962257518515359,,
395,1,0.7000000000000001,0.01,-0.022738136441118384,-0.02091120327376718,-0.007261428404489623,-0.3472506249125791,,
395,1,0.7000000000000001,0.02,0.08810447836332343,0.08276110686401439,0.027038679541950827,-0.3267075630873129,,
395,1,0.7000000000000001,0.03,0.3315171367476826,0.3407485962503193,0.09748170113983123,-0.28608100579883133,,
395,1,0.7000000000000001,0.04,0.14849477069604777,0.1322396448989263,0.041945329875347825,-0.31719179151915877,,
395,1,0.7000000000000001,0.05,0.15200197156279482,0.14659189351075183,0.040752579231139396,-0.2780002239902194,,
395,1,0.7000000000000001,0.06,0.4090524207575194,0.437482967167401,0.10434927336349054,-0.2385219110109074,,
395,1,0.7000000000000001,0.07,0.2595044540277289,0.27573682731963506,0.0634039773926014,-0.22994381276137368,,
395,1,0.7000000000000001,0.08,0.09818433785567117,0.07606984330953774,0.022563514870633572,-0.2966157663664403,,
395,1,0.7000000000000001,0.09,0.12372455461698291,0.07901361076483564,0.026914452973694658,-0.3406305915293358,,
395,1,0.7000000000000001,0.1,0.05796114962125686,0.029978819525820245,0.011953679811252726,-0.3987375086920026,,
